oevk,szekhely,osszesvalaszto,megjelent,ervenyesegyeni,megjelent%,ervenyesegyeni%,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,FIDESZ-KDNP,DK-JOBBIK-LMP-MSZP-MOMENTUM-PÁRBESZÉD,MKKP,MEMO,MUNKÁSPÁRT-ISZOMM,NORMÁLIS PÁRT,MI HAZÁNK,Független,VD,IMA,ZÖLDEK PÁRTJA,MAGYAR LIBERÁLIS PÁRT -LIBERÁL,MSZDDSZ,POLGÁRI VÁLASZ,ervenyeslista,ervenyeslista%,DK-JOBBIK-MOMENTUM-MSZP-LMP-PÁRBESZÉD,NORMÁLIS PÁRT,MKKP,MEMO,MI HAZÁNK,FIDESZ-KDNP
Békés megye 1. számú egyéni választókerület,Békéscsaba,68522,48255,47487,70.42,69.3,Herczeg Tamás,Stummer János,Debreczeni Gergõ,Szegedi Éva,,Szekerczés András,Gyebnár Dávid,Csurár Ibolya,,,,,,,22920,19019,1142,436,,391,3167,154,,,,,,,47416,69.2,18350,502,1470,539,3728,22551
Békés megye 2. számú egyéni választókerület,Békés,69176,45224,44558,65.38,64.41,Dankó Béla,Kondé Gábor,Papp Ákos,Takács Ádám,,Bódizs István,Földesi Mihály,,,,,,,,25716,13086,1090,462,,331,3873,,,,,,,,44705,64.63,13114,413,1229,460,3666,25500
Békés megye 3. számú egyéni választókerület,Gyula,67685,44757,44157,66.13,65.24,Kovács József,Leel-Õssy Gábor,Molnár Lajos Csanád,Pomuczné Nagy Ildikó,Ujj György,Bódizs-Darvasi Dzsenifer,Vidó Attila,,,,,,,,24623,14982,828,541,163,236,2784,,,,,,,,44162,65.25,14348,348,1000,389,3047,24620
Békés megye 4. számú egyéni választókerület,Orosháza,71541,45750,44923,63.95,62.79,Erdõs Norbert,Szabó Ervin,Bódai Dávid,Szabó György,Gál Ferenc,Havasi Gyula,Schultz Gábor,Boros Csaba,,,,,,,22379,17821,915,200,144,214,2631,619,,,,,,,45079,63.01,16512,350,1059,280,3413,23114
Borsod-Abaúj-Zemplén megye 1. számú egyéni választókerület,Miskolc,72579,50030,49416,68.93,68.09,Csöbör Katalin,Szilágyi Szabolcs,Pásti Gabriella,Halmi Bence,Kilián Béla,Loukota Zoltánné,Duzsik István,Jónás Béla,,Lakatos Gusztáv,,,,,22978,20442,1289,1016,129,296,3266,,,,,,,,49555,68.28,20710,363,1412,688,3141,23178
Borsod-Abaúj-Zemplén megye 2. számú egyéni választókerület,Miskolc,71302,47536,46984,66.67,65.89,Kiss János,Varga László,Kiss Gábor,Simkó István,Fülöp József,Szekeres Anita,Pakusza Zoltán,Farkas Vince,,,,,,,20602,20110,1278,551,157,309,3977,,,,,,,,47037,65.97,20031,357,1515,570,3417,21045
Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,70559,40970,40194,58.06,56.97,Riz Gábor,Kiss Sándor,Gyurgyák Tamás,Lenkó Orsolya,Pap Ferenc,Zsidek István,Szarvas Gábor,Vilcsek Ernõ,,Bari Zoltánné,,,Dániel Anna,,23686,10884,548,222,167,177,2389,2121,,,,,,,40301,57.12,11554,337,659,259,2874,24538
Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,74214,46060,45293,62.06,61.03,Demeter Zoltán,Üveges Gábor,Galán Máté,Endre László,Menyhért Roland,Petõ Krisztián,Fiszter Zsuzsanna,,,Kótai Gyula,Szántó Szabolcs,,,,24636,15648,856,256,92,252,3276,,,69,208,,,,45433,61.22,15205,352,1013,338,3374,25028
Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,73338,45998,45106,62.72,61.5,Hörcsik Richárd,Erdei Sándor,Vincze Tamás,Ornyik Róbert,Glonci Béla,Varga Zoltán,Pasztorniczky István,Balogh Róbert,,Jónás Erika,,,,,27335,13526,736,257,83,206,2614,169,,,,,,,45360,61.85,13076,277,774,321,2599,27659
Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,Tiszaújváros,76032,51084,50405,67.19,66.29,Koncz Zsófia,Jézsó Gábor,Boros József,Veszprémi Ádám,Papp György,Molnár Sándor,Miklós Árpád,Macskás József,,,,,,,29737,18618,,558,237,523,,732,,,,,,,50521,66.45,16958,452,1029,487,3075,28435
Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mezõkövesd,75515,50420,49498,66.77,65.55,Tállai András,Sermer Ádám,Blau Sándor,Kertész Gyula,Kóródi Péter,Kovács László,Szajlai János,Farkas Éva,,Dósa Csaba,,,,,29907,13343,1000,592,103,335,3721,177,,,,,,,49638,65.73,14874,426,1166,595,4108,28386
Csongrád megye 1. számú egyéni választókerület,Szeged,80527,56077,55432,69.64,68.84,Bartók Csaba,Szabó Sándor,Nagy Ferenc,Veszelinov Annamária,Várkonyi Zoltán,Budai Gabriella,Lékó Julianna,Szabó Bálint,,,,,,,20159,27443,2163,1006,,376,3162,1123,,,,,,,55551,68.98,26674,483,2629,816,3472,21404
Csongrád megye 2. számú egyéni választókerület,Szeged,86558,61622,60759,71.19,70.19,Mihálffy Béla,Mihálik Edvin,Tóth-Benedek Csanád,Gonda Benjamin,Dobos László,Lévainé Dr. Kovács Marian,Toroczkai László,,,,,,,,27516,24443,1845,734,,453,5768,,,,,,,,60958,70.42,24285,419,2530,679,4756,28222
Csongrád megye 3. számú egyéni választókerület,Szentes,80170,54742,54040,68.28,67.41,Farkas Sándor,Szûcs Ildikó,,Üveges Hajnalka,,Kemény Róbert,Laczkó Zsolt,Köröndi Máté,,,,,,,29582,16947,,755,,,5313,1443,,,,,,,54204,67.61,17314,362,1614,550,4582,29772
Csongrád megye 4. számú egyéni választókerület,Hódmezõvásárhely,77415,56338,55545,72.77,71.75,Dr. Lázár János,Márki-Zay Péter,Kis József,Szabó Zoltán,Kovács István,,Veres Csaba,,,,,,,,28753,22328,944,463,119,,2938,,,,,,,,55594,71.81,21544,356,1397,439,3810,27953
Fejér megye 1. számú egyéni választókerület,Székesfehérvár,60023,45879,45424,76.44,75.68,Vargha Tamás,Márton Roland,Fenekes Roland,Balogh Benedek,,Göde Imre,Végh Annamária,,,,,,,,21546,18994,1637,591,,319,2337,,,,,,,,45468,75.75,18528,343,2060,599,2545,21304
Fejér megye 2. számú egyéni választókerület,Székesfehérvár,70183,51245,50666,73.02,72.19,Törõ Gábor,Fazakas Attila,Varga Eszter,Huszti Mária,Veres Péter,Fogarasi Márta,Schmidt Roland,,,,,,,,28380,15219,1860,449,116,489,4153,,,,,,,,50703,72.24,15223,435,1845,508,4257,28021
Fejér megye 3. számú egyéni választókerület,Bicske,76732,57441,56715,74.86,73.91,Tessely Zoltán,Balázs Péter,Mészáros László,Könyves Tamás,Fléger István,Zeke Zoltán,Hegedüs Pál,,,,,,,,32520,18092,1944,854,137,,3168,,,,,,,,56787,74.01,18159,306,2225,754,3285,31305
Fejér megye 4. számú egyéni választókerület,Dunaújváros,65896,45117,44536,68.47,67.59,Mészáros Lajos,Kálló Gergely,Pozsgai Anita,Hermann Henrik,Fehérvári Zsolt,Kohl János,Badó Péter,,,,,,,,20562,19509,1194,669,97,286,2219,,,,,,,,44661,67.77,18851,375,1305,583,2758,20663
Fejér megye 5. számú egyéni választókerület,Sárbogárd,67210,43292,42804,64.41,63.69,Varga Gábor,Kertész Éva,Spala Gábor,Lakatos Krisztián,,Kovács János,Gieber Lajos,,,Simon Antal,,,,,27629,10441,969,289,,457,3019,,,,,,,,42895,63.82,10535,364,1022,321,3083,27512
Győr-Moson-Sopron megye 1. számú egyéni választókerület,Gyõr,66579,48434,47940,72.75,72,Simon Róbert,Jancsó Zita,Kovács Balázs,Szilágyi Norbert,,Lelkes Gyõzõ,Bálint Csaba,,,,,,Oratovszky Andrea,,24182,18356,1692,1079,,,2631,,,,,,,,47991,72.08,18436,326,1812,754,2705,23879
Győr-Moson-Sopron megye 2. számú egyéni választókerület,Gyõr,73057,53299,52655,72.96,72.07,Kara Ákos,Gasztonyi László,Gyõrvári Gábor,Szemes Norbert,,Szöllõsi Sándor,Szabó Róbert,Mészáros Géza,,,,,,,31661,16517,,861,,402,3214,,,,,,,,52806,72.28,16353,426,1749,726,3664,29848
